Track
x: -1590, y: -13426, z: 3751
x: -1664, y: -13567, z: 3748
x: -1722, y: -13687, z: 3745
x: -1773, y: -13796, z: 3742
x: -1821, y: -13898, z: 3740
x: -1858, y: -13975, z: 3738
x: -1894, y: -14049, z: 3736
x: -1936, y: -14131, z: 3734
x: -1968, y: -14193, z: 3732
x: -2010, y: -14270, z: 3731
x: -2065, y: -14365, z: 3728
x: -2122, y: -14463, z: 3724
x: -2181, y: -14554, z: 3720
x: -2234, y: -14626, z: 3717
x: -2290, y: -14689, z: 3714
x: -2411, y: -14791, z: 3708
x: -2518, y: -14847, z: 3703
x: -2584, y: -14870, z: 3701
x: -2661, y: -14881, z: 3698
x: -2737, y: -14880, z: 3696
x: -2870, y: -14863, z: 3690
x: -2994, y: -14830, z: 3685
x: -3081, y: -14797, z: 3682
x: -3174, y: -14751, z: 3679
x: -3305, y: -14673, z: 3675
x: -3406, y: -14614, z: 3672
x: -3562, y: -14510, z: 3667
x: -3651, y: -14445, z: 3665
x: -3758, y: -14363, z: 3662
x: -3957, y: -14182, z: 3657
x: -4037, y: -14092, z: 3656
x: -4117, y: -13988, z: 3655
x: -4193, y: -13864, z: 3655
x: -4261, y: -13723, z: 3656
x: -4311, y: -13577, z: 3658
x: -4333, y: -13437, z: 3659
x: -4260, y: -12773, z: 3678
x: -4236, y: -12689, z: 3681
x: -4189, y: -12545, z: 3686
x: -4148, y: -12438, z: 3689
x: -4088, y: -12296, z: 3694
x: -4019, y: -12155, z: 3699
x: -3968, y: -12062, z: 3703
x: -3871, y: -11900, z: 3708
x: -3773, y: -11751, z: 3713
x: -3634, y: -11558, z: 3721
x: -3511, y: -11401, z: 3728
x: -3361, y: -11221, z: 3735
x: -3234, y: -11079, z: 3741
x: -3143, y: -10982, z: 3745
x: -3040, y: -10875, z: 3750
x: -2514, y: -10395, z: 3770
x: -2319, y: -10244, z: 3777
x: -2127, y: -10110, z: 3783
x: -1965, y: -10006, z: 3788
x: -1761, y: -9886, z: 3792
x: -1609, y: -9799, z: 3796
x: -1540, y: -9760, z: 3798
x: -1347, y: -9648, z: 3803
x: -1236, y: -9583, z: 3805
x: -1083, y: -9494, z: 3809
x: -858, y: -9365, z: 3815
x: -564, y: -9191, z: 3822
x: -399, y: -9085, z: 3825
x: -266, y: -8992, z: 3829
x: -124, y: -8881, z: 3833
x: 23, y: -8751, z: 3837
x: 255, y: -8515, z: 3844
x: 329, y: -8427, z: 3847
x: 528, y: -8144, z: 3855
x: 637, y: -7957, z: 3861
x: 714, y: -7809, z: 3866
x: 822, y: -7585, z: 3873
x: 910, y: -7387, z: 3879
x: 995, y: -7189, z: 3885
x: 1107, y: -6911, z: 3894
x: 1183, y: -6708, z: 3899
x: 1284, y: -6373, z: 3907
x: 1339, y: -6032, z: 3915
x: 1343, y: -5932, z: 3917
x: 1334, y: -5716, z: 3923
x: 1306, y: -5519, z: 3928
x: 1205, y: -5182, z: 3937
x: 1136, y: -4995, z: 3940
x: 1069, y: -4826, z: 3942
x: 954, y: -4551, z: 3945
x: 881, y: -4384, z: 3946
x: 802, y: -4201, z: 3949
x: 709, y: -3987, z: 3952
x: 637, y: -3819, z: 3956
x: 560, y: -3634, z: 3961
x: 473, y: -3418, z: 3966
x: 398, y: -3215, z: 3972
x: 339, y: -3027, z: 3978
x: 308, y: -2899, z: 3983
x: 226, y: -2525, z: 3996
x: 193, y: -2360, z: 4002
x: 167, y: -2227, z: 4008
x: 140, y: -2081, z: 4013
x: 113, y: -1923, z: 4019
x: 87, y: -1770, z: 4025
x: 69, y: -1655, z: 4029
x: 48, y: -1518, z: 4034
x: 29, y: -1396, z: 4038
x: 13, y: -1280, z: 4043
x: 2, y: -1202, z: 4046
x: -4, y: -1130, z: 4048
x: -11, y: -1047, z: 4051
x: -12, y: -976, z: 4053
x: -11, y: -920, z: 4055
x: -4, y: -834, z: 4057
x: 4, y: -780, z: 4058
x: 17, y: -727, z: 4059
x: 54, y: -650, z: 4062
x: 110, y: -591, z: 4068
x: 199, y: -558, z: 4071
x: 281, y: -552, z: 4074
x: 355, y: -547, z: 4076
x: 410, y: -535, z: 4077
x: 477, y: -501, z: 4079
x: 524, y: -443, z: 4084
x: 544, y: -388, z: 4087
x: 545, y: -270, z: 4094
x: 526, y: -192, z: 4097
x: 503, y: -130, z: 4099
x: 434, y: 1, z: 4103
x: 398, y: 59, z: 4105
x: 335, y: 154, z: 4108
x: 283, y: 230, z: 4110
x: 201, y: 350, z: 4114
x: 152, y: 422, z: 4117
x: 42, y: 585, z: 4121
x: -12, y: 668, z: 4123
x: -103, y: 806, z: 4126
x: -225, y: 990, z: 4130
x: -317, y: 1128, z: 4133
x: -389, y: 1238, z: 4136
x: -463, y: 1350, z: 4138
x: -593, y: 1545, z: 4142
x: -734, y: 1758, z: 4147
x: -814, y: 1879, z: 4150
x: -953, y: 2089, z: 4155
x: -1028, y: 2202, z: 4157
x: -1138, y: 2368, z: 4161
x: -1232, y: 2510, z: 4164
x: -1406, y: 2773, z: 4170
x: -1530, y: 2960, z: 4175
x: -1647, y: 3136, z: 4179
x: -1755, y: 3299, z: 4183
x: -1863, y: 3463, z: 4190
x: -1979, y: 3637, z: 4198
x: -2054, y: 3752, z: 4204
x: -2098, y: 3821, z: 4208
x: -2181, y: 3959, z: 4215
x: -2220, y: 4030, z: 4217
x: -2248, y: 4086, z: 4219
x: -2274, y: 4151, z: 4222
x: -2309, y: 4317, z: 4223
x: -2292, y: 4431, z: 4218
x: -2255, y: 4490, z: 4220
x: -2192, y: 4534, z: 4218
x: -2090, y: 4549, z: 4214
x: -2012, y: 4536, z: 4210
x: -1927, y: 4512, z: 4207
x: -1835, y: 4478, z: 4202
x: -1720, y: 4428, z: 4194
x: -1653, y: 4396, z: 4190
x: -1566, y: 4354, z: 4184
x: -1463, y: 4301, z: 4175
x: -1130, y: 4130, z: 4150











Pit Lane
x: 737, y: -338, z: 4097
x: 742, y: -124, z: 4097
x: 703, y: -34, z: 4097
x: 672, y: 17, z: 4097
x: 633, y: 86, z: 4097
x: 598, y: 143, z: 4097
x: 559, y: 203, z: 4097
x: 526, y: 255, z: 4097
x: 462, y: 356, z: 4097
x: 367, y: 501, z: 4097
x: 326, y: 561, z: 4097
x: 278, y: 626, z: 4097
x: 196, y: 715, z: 4097
x: 117, y: 795, z: 4097
x: 60, y: 850, z: 4097
x: -12, y: 920, z: 4097
x: -103, y: 1019, z: 4097
