Track
x: 189, y: 1091, z: 2290
x: 133, y: 1094, z: 2291
x: 0, y: 1072, z: 2292
x: -82, y: 1037, z: 2294
x: -210, y: 909, z: 2298
x: -260, y: 759, z: 2301
x: -263, y: 701, z: 2302
x: -241, y: 586, z: 2306
x: -217, y: 529, z: 2308
x: -175, y: 460, z: 2312
x: -106, y: 376, z: 2317
x: -36, y: 308, z: 2320
x: 42, y: 243, z: 2324
x: 123, y: 181, z: 2329
x: 215, y: 114, z: 2334
x: 288, y: 62, z: 2338
x: 371, y: 2, z: 2342
x: 508, y: -96, z: 2348
x: 627, y: -187, z: 2354
x: 796, y: -334, z: 2363
x: 855, y: -396, z: 2366
x: 938, y: -506, z: 2369
x: 991, y: -607, z: 2372
x: 1032, y: -741, z: 2375
x: 1045, y: -861, z: 2377
x: 1036, y: -985, z: 2379
x: 999, y: -1121, z: 2382
x: 942, y: -1225, z: 2384
x: 895, y: -1285, z: 2384
x: 840, y: -1339, z: 2385
x: 734, y: -1411, z: 2386
x: 633, y: -1454, z: 2386
x: 522, y: -1482, z: 2387
x: 422, y: -1493, z: 2387
x: 106, y: -1434, z: 2388
x: 38, y: -1401, z: 2389
x: -204, y: -1238, z: 2389
x: -270, y: -1184, z: 2389
x: -382, y: -1089, z: 2390
x: -468, y: -1013, z: 2390
x: -604, y: -892, z: 2390
x: -682, y: -820, z: 2389
x: -812, y: -700, z: 2389
x: -915, y: -606, z: 2389
x: -988, y: -540, z: 2389
x: -1159, y: -388, z: 2389
x: -1347, y: -226, z: 2388








Pit Lane

x: 967, y: -971, z: 2381
x: 923, y: -1065, z: 2381
x: 852, y: -1175, z: 2381
x: 752, y: -1267, z: 2381
x: 636, y: -1329, z: 2381
x: 565, y: -1350, z: 2381
x: 430, y: -1358, z: 2381
x: 360, y: -1347, z: 2381
x: 299, y: -1328, z: 2381
x: 170, y: -1255, z: 2381
x: 94, y: -1198, z: 2381
x: -4, y: -1122, z: 2381
x: -89, y: -1053, z: 2381
x: -188, y: -973, z: 2381
x: -267, y: -910, z: 2381
x: -385, y: -816, z: 2381
x: -509, y: -715, z: 2381
x: -584, y: -654, z: 2381
x: -650, y: -600, z: 2381
x: -715, y: -547, z: 2381
x: -773, y: -499, z: 2381
x: -904, y: -391, z: 2381
x: -966, y: -341, z: 2381
x: -1058, y: -265, z: 2381
x: -1133, y: -204, z: 2381
x: -1257, y: -102, z: 2381
x: -1356, y: -21, z: 2381
x: -1418, y: 28, z: 2381
x: -1479, y: 79, z: 2381
x: -1554, y: 140, z: 2381
x: -1656, y: 224, z: 2381
x: -1712, y: 270, z: 2381
x: -1763, y: 312, z: 2381
x: -1820, y: 358, z: 2381
x: -1872, y: 401, z: 2381
x: -1929, y: 447, z: 2381
x: -2077, y: 568, z: 2381
x: -2020, y: 522, z: 0
x: -2160, y: 637, z: 0
x: -2219, y: 685, z: 0
x: -2283, y: 737, z: 0
x: -2368, y: 807, z: 0
x: -2454, y: 877, z: 0
x: -2507, y: 921, z: 0
x: -2571, y: 973, z: 0
x: -2623, y: 1015, z: 0
x: -2677, y: 1060, z: 0
x: -2744, y: 1115, z: 0
x: -2814, y: 1172, z: 0
x: -2885, y: 1231, z: 0
x: -2942, y: 1277, z: 0
x: -3008, y: 1331, z: 0
x: -3067, y: 1380, z: 0
x: -3128, y: 1430, z: 0
x: -3220, y: 1505, z: 0
x: -3291, y: 1563, z: 0
x: -3354, y: 1615, z: 0
x: -3471, y: 1710, z: 0
x: -3540, y: 1767, z: 0
x: -3599, y: 1816, z: 0
x: -3722, y: 1917, z: 0
x: -3787, y: 1970, z: 0
x: -3844, y: 2015, z: 0
x: -3919, y: 2071, z: 0
x: -3987, y: 2116, z: 0
x: -4038, y: 2148, z: 0
x: -4098, y: 2185, z: 0
x: -4157, y: 2218, z: 0
