Track
x: 1000, y: -1790, z: 187
x: 1014, y: -1687, z: 187
x: 1016, y: -1577, z: 187
x: 1014, y: -1524, z: 187
x: 1004, y: -1427, z: 187
x: 998, y: -1370, z: 187
x: 989, y: -1277, z: 187
x: 980, y: -1203, z: 187
x: 965, y: -1093, z: 187
x: 953, y: -1009, z: 187
x: 941, y: -922, z: 187
x: 924, y: -793, z: 187
x: 913, y: -712, z: 187
x: 900, y: -619, z: 187
x: 892, y: -561, z: 187
x: 885, y: -510, z: 187
x: 876, y: -446, z: 187
x: 868, y: -384, z: 187
x: 855, y: -287, z: 0
x: 844, y: -210, z: 0
x: 834, y: -138, z: 0
x: 824, y: -63, z: 0
x: 814, y: 5, z: 0
x: 804, y: 77, z: 0
x: 797, y: 136, z: 0
x: 787, y: 206, z: 0
x: 780, y: 261, z: 0
x: 771, y: 332, z: 0
x: 763, y: 392, z: 0
x: 756, y: 445, z: 0
x: 747, y: 517, z: 0
x: 738, y: 580, z: 0
x: 730, y: 635, z: 0
x: 722, y: 693, z: 0
x: 711, y: 763, z: 0
x: 700, y: 841, z: 0
x: 689, y: 921, z: 0
x: 680, y: 985, z: 0
x: 660, y: 1122, z: 0
x: 650, y: 1188, z: 0
x: 640, y: 1258, z: 0
x: 631, y: 1320, z: 0
x: 620, y: 1396, z: 0
x: 612, y: 1455, z: 0
x: 604, y: 1507, z: 0
x: 594, y: 1581, z: 0
x: 585, y: 1642, z: 0
x: 578, y: 1698, z: 0
x: 571, y: 1749, z: 0
x: 563, y: 1805, z: 0
x: 556, y: 1859, z: 0
x: 548, y: 1918, z: 0
x: 541, y: 1973, z: 0
x: 534, y: 2031, z: 0
x: 528, y: 2086, z: 0
x: 522, y: 2150, z: 0
x: 517, y: 2218, z: 0
x: 512, y: 2289, z: 0
x: 508, y: 2344, z: 0
x: 503, y: 2402, z: 0
x: 497, y: 2459, z: 0
x: 489, y: 2528, z: 0
x: 482, y: 2607, z: 0
x: 476, y: 2663, z: 0
x: 471, y: 2717, z: 0
x: 465, y: 2783, z: 0
x: 458, y: 2854, z: 0
x: 449, y: 2927, z: 0
x: 438, y: 2998, z: 0
x: 429, y: 3061, z: 0
x: 414, y: 3162, z: 0
x: 398, y: 3253, z: 0
x: 356, y: 3344, z: 0
x: 312, y: 3398, z: 0
x: 230, y: 3456, z: 0
x: 156, y: 3482, z: 0
x: 83, y: 3501, z: 0
x: 29, y: 3516, z: 0
x: -43, y: 3542, z: 0
x: -96, y: 3567, z: 0
x: -162, y: 3607, z: 0
